ID,avg_responsefriend_approached,avg_responsestranger_approached,avg_responsefriend_approaching,avg_responsestranger_approaching,gender,age,UCLA,COVID_LONELINESS,loneliness_L1_H2,covid_loneliness_1L_2H,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV,Zavg_responsefriend1,Zavg_responsestranger1,Zavg_responsefriend2,Zavg_responsestranger2,response_avg_z
1,3.61,2.98,3.59,3.04,2,29,35,3,1,1,1,3,2,2,1,1,3,2,1,2,2,2,2,2,1,2,2,2,1,1,0.600564081,0.833797028,0.688291231,0.974485708,0.774284512
2,2.79,1.31,2.72,1.19,2,27,21,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-0.616673545,-1.03594031,-0.526788854,-1.094362665,-0.818441344
3,0.73,0.59,0.67,0.57,2,32,39,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,-3.697632328,-1.855231732,-3.394194076,-1.781808647,-2.682216696
4,3.42,3.46,3.59,3.41,2,24,34,4,1,2,1,3,2,2,1,1,2,2,1,1,3,2,2,2,2,1,2,2,1,1,0.315559891,1.379066671,0.69475993,1.386940333,0.944081706
5,3.28,2.72,3.20,2.74,1,33,38,3,1,1,1,2,1,2,1,2,1,3,2,2,2,2,3,3,1,2,3,3,1,1,0.099799315,0.543698257,0.153909243,0.63441243,0.357954811
6,3.22,2.97,3.28,2.99,1,35,30,4,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,0.017445192,0.8275012,0.260257354,0.91809306,0.505824201
7,4.00,1.06,4.00,0.68,1,34,33,3,1,1,1,1,1,2,1,3,1,2,2,2,2,2,3,1,1,1,3,2,1,1,1.18009252,-1.322478493,1.269424626,-1.660566944,-0.133382073
8,1.26,1.33,1.53,1.52,1,36,27,3,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,-2.908171438,-1.013370426,-2.191003013,-0.722028199,-1.708643269
9,3.46,2.70,3.67,2.81,2,32,25,3,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,0.375901112,0.521006665,0.808433945,0.712283695,0.604406354
10,3.22,1.47,3.28,1.37,1,33,37,2,1,1,2,2,3,3,1,1,2,1,1,1,2,2,3,1,2,2,1,3,2,2,0.010353618,-0.860427747,0.265198723,-0.887697493,-0.368143224
11,3.46,2.53,3.14,1.72,1,29,40,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0.372742135,0.335974593,0.066816194,-0.49965381,0.068969778
12,4.00,4.00,4.00,4.00,1,29,36,4,1,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,1,1,1.18009252,1.986914333,1.269424626,2.045559122,1.62049765
13,2.94,1.14,2.53,2.43,2,29,32,3,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2,-0.399915387,-1.232426988,-0.790958555,0.292963362,-0.532584392
14,3.84,3.11,3.59,3.28,2,39,33,4,1,2,1,2,1,3,2,2,1,1,2,2,1,1,1,3,2,1,4,1,1,1,0.94160076,0.985091335,0.69475993,1.241820939,0.965818241
15,3.81,2.51,3.44,2.92,2,32,26,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,0.896883555,0.309705044,0.484516748,0.839951847,0.632764299
16,3.70,3.15,2.96,2.18,2,39,30,4,1,2,2,4,1,2,1,1,1,1,2,1,2,1,1,1,1,1,3,2,1,1,0.733050966,1.029441697,-0.194305893,0.008961822,0.394287148
