Included_in_analysis,ID,avg_response_friend_approached,avg_response_stranger_approached,avg_response_friend_approaching,avg_response_stranger_approaching,Sex_1m_2f,Country,country_1in_2us,age,UCLA,loneliness_L1_H2,covid_loneliness,covid_loneliness_L1_H2,Avg_approached,Avg_Approaching,Avg_Friend,Avg_Stranger,average_response_time_total,Zavg_response_friend_approached,Zavg_response_stranger_approached,Zavg_response_friend_approaching,Zavg_response_stranger_approaching,Zavg_response_total,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV
1,1,2.41,1.94,1.17,1.27,2,1, ,27,51,2,3,1,2.17,1.22,1.79,1.61,1.70,-1.19,-0.33,-2.70,-1.00,-1.31,4,2,1,3,4,3,1,4,3,2,2,3,3,2,2,3,1,4,2,2
1,2,3.42,1.29,3.10,1.14,1,78,1,47,35,1,5,2,2.35,2.12,3.26,1.21,2.24,0.31,-1.06,0.00,-1.15,-0.47,1,2,1,2,2,2,4,1,1,1,1,1,1,1,3,3,1,2,2,3
1,3,3.44,3.10,3.40,3.25,1,187,2,67,35,1,3,1,3.27,3.33,3.42,3.18,3.30,0.35,0.97,0.43,1.21,0.74,2,1,1,1,2,2,1,3,2,2,1,2,3,2,1,2,3,2,1,1
1,4,3.61,2.98,3.59,3.04,2,37, ,29,35,1,3,1,3.29,3.31,3.60,3.01,3.30,0.60,0.83,0.69,0.97,0.77,1,3,2,2,1,1,3,2,1,2,2,2,2,2,1,2,2,2,1,1
1,5,4.00,1.30,3.61,0.93,1,78,1,50,24,1,3,1,2.65,2.27,3.80,1.12,2.46,1.18,-1.05,0.72,-1.38,-0.13,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1
1,6,2.79,1.31,2.72,1.19,2,187,2,27,21,1,3,1,2.05,1.95,2.76,1.25,2.00,-0.62,-1.04,-0.53,-1.09,-0.82,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,7,3.38,0.90,3.71,1.53,2,187,2,48,36,1,4,2,2.14,2.62,3.55,1.22,2.38,0.26,-1.50,0.86,-0.71,-0.27,2,3,2,2,4,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1
0,8,0.73,0.59,0.67,0.57,2,187,2,32,39,1,3,1,0.66,0.62,0.70,0.58,0.64,-3.70,-1.86,-3.39,-1.78,-2.68,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2
1,9,3.46,2.90,3.29,2.50,1,187,2,28,46,2,4,2,3.18,2.90,3.38,2.70,3.04,0.38,0.75,0.27,0.37,0.44,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2
1,10,2.87,0.65,1.99,0.79,2,31, ,41,29,1,4,2,1.76,1.39,2.43,0.72,1.57,-0.50,-1.78,-1.55,-1.54,-1.34,2,1,1,1,3,3,1,1,3,2,1,1,1,1,1,1,2,1,1,1
0,11,1.31,0.72,0.96,0.72,1,187,2,46,73,2,3,1,1.01,0.84,1.13,0.72,0.93,-2.83,-1.71,-2.99,-1.62,-2.29,2,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4
1,12,3.16,2.79,2.98,2.21,1,187,2,49,67,2,3,1,2.98,2.60,3.07,2.50,2.79,-0.07,0.62,-0.16,0.05,0.11,3,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,4,3,3
1,13,3.42,3.46,3.59,3.41,2,187,2,24,34,1,4,2,3.44,3.50,3.51,3.44,3.47,0.32,1.38,0.69,1.39,0.94,1,3,2,2,1,1,2,2,1,1,3,2,2,2,2,1,2,2,1,1
1,14,2.88,2.63,2.84,2.71,2,187,2,31,58,2,3,1,2.76,2.78,2.86,2.67,2.77,-0.49,0.44,-0.36,0.61,0.05,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,4,3,2,2
1,15,2.80,2.04,2.87,1.48,2,187,2,46,54,2,3,1,2.42,2.18,2.84,1.76,2.30,-0.60,-0.21,-0.31,-0.77,-0.47,3,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,4,2,2
1,16,3.51,2.23,3.46,1.98,1,78,1,36,68,2,5,2,2.87,2.72,3.49,2.11,2.80,0.45,-0.01,0.51,-0.21,0.19,3,2,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,3,3
1,17,3.17,2.74,2.46,2.03,1,84, ,44,56,2,4,2,2.96,2.25,2.82,2.39,2.60,-0.06,0.57,-0.89,-0.15,-0.13,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,2,2
0,18,0.50,0.46,0.43,0.45,1,78,1,32,63,2,5,2,0.48,0.44,0.47,0.46,0.46,-4.04,-2.00,-3.73,-1.92,-2.92,4,4,4,4,1,2,4,4,2,4,3,3,4,4,4,3,1,4,2,2
1,19,3.15,1.31,2.70,0.54,2,187,2,41,41,1,2,1,2.23,1.62,2.93,0.93,1.93,-0.09,-1.04,-0.55,-1.82,-0.87,2,2,2,2,3,2,1,2,3,2,3,2,2,2,1,2,4,2,1,1
